feature_name,importance
nasrdw_recd_date,1859
var_jb_43,1591
var_jb_94,1442
var_jb_23,1424
creditlimitamount_4,1366
var_jb_73,1300
creditlimitamount_3,1243
var_jb_25,1231
var_jb_28,1194
var_jb_22,1175
remainpaymentcyc,1163
var_jb_9,1159
var_jb_1,1137
usedhighestamount_7,1071
var_jb_13,1060
var_jb_15,1037
var_jb_29,1033
scheduledpaymentamount_3,1030
balance,1001
actualpaymentamount_3,965
var_jb_40,955
mis_date_7,922
var_jb_20,918
sharecreditlimitamount_7,916
var_jb_42,883
usedcreditlimitamount_7,833
latest6monthusedavgamount_7,810
var_jb_35,778
actualpaymentamount_4,748
scheduledpaymentamount_4,674
var_jb_14,653
var_jb_26,605
latest24monthpaymentbeginmonth_4,519
var_jb_30,503
latest5yearoverduebeginmonth_3,450
var_jb_72,442
latest24monthpaymentbeginmonth_3,416
var_jb_12,393
latest5yearoverdueendmonth_3,373
var_jb_64,365
var_jb_24,337
mis_date_8,316
latest5yearoverduebeginmonth_4,287
var_jb_95,280
latest5yearoverdueendmonth_4,253
var_jb_5_F,248
var_jb_59,230
var_jb_49_毕业,199
var_jb_8_M,161
creditlimitamount,133
financetype_4_消费金融有限公司,127
var_jb_21,117
var_jb_4_P,116
var_jb_4_H,116
var_jb_31,114
guaranteetype_4_6|组合（不含保证）,113
var_jb_4_U,113
var_jb_60,108
var_jb_6_L,108
var_jb_6_M,102
var_jb_8_O,100
var_jb_10_B,100
sharecreditlimitamount_8,100
curroverdueamount_3,97
var_jb_6_S,95
latest24monthpaymentbeginmonth,94
var_jb_58,93
var_jb_97,90
var_jb_18_B,90
var_jb_52,87
queryreason_03|信用卡审批,87
var_jb_6_R,86
var_jb_19,81
usedhighestamount_8,80
var_jb_4_S,78
var_jb_8_S,76
var_jb_18_E,73
guaranteetype_4_2|抵押,70
queryreason_02|贷款审批,69
type_91|个人消费贷款,69
state_3_3|止付,68
var_jb_55_普通全日制,68
financetype_4_商业银行,66
paymentrating_03|月,66
var_jb_57_Y,65
guaranteetype_4_5|组合（含保证）,61
var_jb_10_H,58
type_41|个人经营性贷款,58
type_99|其他,58
var_jb_48_专科,56
var_jb_6_O,56
var_jb_6_Q,55
type_12|个人商用房（包括商住两用）贷款,55
var_jb_5_M,54
guaranteetype_4_4|信用/免担保,53
queryreason_08|担保资格审查,47
curroverdueamount_4,47
var_jb_78,46
type_21|个人汽车贷款,45
parentindex,44
currency_3_美元,43
type_13|个人住房公积金贷款,43
financetype_4_信托投资公司,38
var_jb_67,37
var_jb_48_本科,37
var_jb_7,37
state_4_3|结清,36
state_3_4|销户,35
var_jb_4_M,33
var_jb_55_业余,33
var_jb_62_N,33
type_51|农户贷款,33
var_jb_47_普通,32
financetype_4_机构,32
state_3_6|未激活,31
var_jb_55_脱产,30
paymentrating_07|一次性,29
type_11|个人住房贷款,29
var_jb_18_G,28
sub_divide,28
var_jb_44,28
guaranteetype_4_9|其他,26
var_jb_57_N,25
var_jb_18_D,24
guaranteetype_4_3|保证,24
paymentrating_08|不定期,24
var_jb_18_F,23
var_jb_61,23
latest6monthusedavgamount_8,23
financetype_4_汽车金融公司,22
actualpaymentamount,22
var_jb_62_Y,22
var_jb_39_C,22
latest5yearoverdueendmonth,21
financetype_3_外资银行,21
paymentrating_99|其他,20
state_4|销户,20
paymentrating_04|季,20
currency_3_加拿大元,19
var_jb_71,19
state_3_1|正常,19
latest5yearoverduebeginmonth,18
curroverduecyc_3,17
currency_3_英镑,17
var_jb_47_成人,17
var_jb_47_开放教育,17
var_jb_55_函授,16
currency_3_瑞士法郎,16
var_jb_18_O,16
currency_3_港元,15
var_jb_48_专科(高职),15
var_jb_48_硕士研究生,15
financetype_4_小额信贷公司,14
state_6|未激活,14
var_jb_55_全日制,14
var_jb_98,14
var_jb_47_研究生,13
var_jb_77,13
var_jb_47_网络教育,13
var_jb_55_不详,13
var_jb_55_网络教育,12
guaranteetype_3_6|组合（不含保证）,12
paymentrating_06|年,12
usedcreditlimitamount_8,12
var_jb_55_*,12
currency_3_人民币,11
financetype_4_财务公司,11
var_jb_18_C,11
paymentrating_01|日,10
var_jb_96,10
var_jb_47_普通全日制,9
var_jb_51,9
financetype_4_住房公积金管理中心,9
type_31|个人助学贷款,8
var_jb_33,8
guaranteetype_9|其他,7
var_jb_47_*,7
var_jb_47_函授,6
state_3_5|呆帐,6
var_jb_50,6
class5state_1|正常,6
class5state_9|未知,5
var_jb_49_结业,5
var_jb_39_U,5
financetype_4_金融租赁公司,5
currency_3_澳门元,5
var_jb_92,5
class5state_2|关注,4
financetype_4_村镇银行,4
queryreqformat_1|信贷审批查询,4
var_jb_55_开放教育,4
guaranteetype_4_7|农户联保,4
var_jb_4_O,4
index_3,4
var_jb_18_A,3
currency_3_欧元,3
currency_美元,3
guaranteetype_3|保证,3
var_jb_63,3
state_2|冻结,3
var_jb_48_博士研究生,3
curroverduecyc_4,3
guaranteetype_4_1|质押（含保证金）,2
currency_3_日元,2
currency_人民币,2
paymentrating_05|半年,2
var_jb_65,1
state_1|正常,1
var_jb_89,1
currency_3_澳大利亚元,1
var_jb_82,1
currency_4_人民币,1
state_4_1|正常,1
var_jb_47_自考,1
var_jb_47_业余,1
financetype_4_外资银行,1
var_jb_39_B,0
var_jb_54_全日制,0
var_jb_54_业余,0
var_jb_54_夜大学,0
var_jb_54_开放教育,0
var_jb_54_成人,0
var_jb_93_M,0
var_jb_54_函授,0
