feature_name,importance
nasrdw_recd_date,630
var_jb_15,480
var_jb_94,357
creditlimitamount_4,343
var_jb_43,322
var_jb_28,300
var_jb_9,290
var_jb_1,282
var_jb_22,272
var_jb_25,270
var_jb_23,254
actualpaymentamount_3,234
creditlimitamount_3,229
var_jb_40,227
var_jb_29,226
balance,225
mis_date_7,224
remainpaymentcyc,219
scheduledpaymentamount_3,215
var_jb_13,198
var_jb_20,198
var_jb_30,193
var_jb_42,191
latest6monthusedavgamount_7,189
var_jb_26,173
usedcreditlimitamount_7,172
var_jb_73,167
usedhighestamount_7,167
sharecreditlimitamount_7,133
latest5yearoverduebeginmonth_3,127
actualpaymentamount_4,127
var_jb_72,118
var_jb_35,111
var_jb_14,110
var_jb_5_F,109
scheduledpaymentamount_4,108
var_jb_59,100
latest5yearoverdueendmonth_3,93
latest5yearoverdueendmonth_4,91
var_jb_49_毕业,90
var_jb_95,80
latest5yearoverduebeginmonth_4,74
latest24monthpaymentbeginmonth_4,73
var_jb_8_M,72
latest24monthpaymentbeginmonth_3,69
var_jb_12,68
var_jb_31,63
var_jb_6_M,62
mis_date_8,60
var_jb_24,57
var_jb_64,57
var_jb_57_Y,42
var_jb_19,40
creditlimitamount,38
var_jb_4_U,37
financetype_4_消费金融有限公司,35
curroverdueamount_3,35
state_3_3|止付,34
var_jb_4_S,34
var_jb_97,33
var_jb_21,33
type_12|个人商用房（包括商住两用）贷款,33
var_jb_6_S,30
var_jb_6_L,29
guaranteetype_4_6|组合（不含保证）,29
var_jb_67,29
var_jb_48_本科,26
var_jb_6_R,25
queryreason_08|担保资格审查,24
var_jb_60,24
curroverdueamount_4,24
var_jb_8_O,24
var_jb_4_H,23
type_99|其他,23
paymentrating_03|月,23
var_jb_10_H,21
financetype_4_信托投资公司,20
sharecreditlimitamount_8,20
type_91|个人消费贷款,20
var_jb_6_Q,19
seg3,18
var_jb_4_P,18
var_jb_5_M,17
guaranteetype_4_2|抵押,17
type_21|个人汽车贷款,17
type_41|个人经营性贷款,17
seg1,16
var_jb_61,15
var_jb_4_M,15
var_jb_52,15
usedhighestamount_8,14
var_jb_18_B,14
var_jb_48_专科,14
var_jb_58,14
financetype_4_商业银行,13
var_jb_62_N,13
queryreason_03|信用卡审批,13
var_jb_39_C,12
